,review_10,review_9or10,review_scores_value,superhost,host_days,host_days,response_rate,host_listings_count,host_verifications,host_pic,id_verified,neighbourhood_cleansed,borough,property_type,room_type,accommodates,bathrooms,bedrooms,beds,real_bed,amenities,price,sec_dep,cleaning_fee,extra_people,guests_included,minimum_nights,maximum_nights,number_of_reviews,instant_bookable,business_travel_ready,cancellation_policy,lat,lon,galleries,rats
0,1,1,10,0,1416.0,1416.0,100,1.0,6,1,0,Lower East Side,Manhattan,Apartment,Private room,2,1.0,1.0,1.0,1,16,90,100.0,60.0,25,1,2,15,20,0,0,strict_14_with_grace_period,40.72017,-73.98412,20,11023
1,0,1,9,1,2088.0,2088.0,100,1.0,4,1,1,Greenwich Village,Manhattan,Apartment,Entire home/apt,6,2.0,3.0,4.0,1,30,615,0.0,200.0,5,4,3,1125,52,1,0,strict_14_with_grace_period,40.73372,-73.99704,102,4290
2,1,1,10,1,1474.0,1474.0,100,8.0,6,1,0,Greenpoint,Brooklyn,Apartment,Entire home/apt,4,1.0,1.0,2.0,1,20,90,0.0,0.0,0,1,30,120,6,0,0,strict_14_with_grace_period,40.72074,-73.9432,4,3727
3,1,1,10,0,1484.0,1484.0,57,1.0,6,1,0,Kips Bay,Manhattan,Apartment,Private room,1,1.0,1.0,1.0,1,22,110,100.0,80.0,20,1,30,1125,3,1,0,strict_14_with_grace_period,40.74075,-73.98162,14,781
4,1,1,10,0,2509.0,2509.0,100,1.0,6,1,1,Chelsea,Manhattan,Apartment,Entire home/apt,3,1.0,0.0,2.0,1,39,220,0.0,90.0,0,1,4,1125,15,0,0,strict_14_with_grace_period,40.75206,-73.99346,117,1511
5,0,1,9,1,1935.0,1935.0,89,1.0,5,1,0,Upper West Side,Manhattan,Apartment,Entire home/apt,2,1.5,1.0,1.0,1,23,219,0.0,80.0,0,1,3,10,40,0,0,flexible,40.79312,-73.96886,4,10087
6,1,1,10,1,1969.0,1969.0,100,3.0,5,1,0,Upper West Side,Manhattan,Apartment,Entire home/apt,4,1.0,1.0,2.0,1,16,289,0.0,110.0,0,1,3,1125,3,1,0,strict_14_with_grace_period,40.7856,-73.97539,17,8021
7,1,1,10,1,849.0,849.0,100,2.0,3,1,0,Hell's Kitchen,Manhattan,Apartment,Private room,2,1.0,1.0,1.0,1,29,110,150.0,50.0,50,1,3,8,138,0,0,strict_14_with_grace_period,40.76181,-73.98865,4,2527
8,0,1,9,0,3102.0,3102.0,100,3.0,3,1,0,Upper West Side,Manhattan,Apartment,Private room,3,1.0,2.0,1.0,1,22,89,200.0,59.0,45,1,1,180,19,0,0,strict_14_with_grace_period,40.77345,-73.98774,9,2761
9,1,1,10,1,927.0,927.0,100,5.0,9,1,1,East Morrisania,Bronx,Apartment,Private room,2,1.5,1.0,2.0,1,31,55,0.0,25.0,0,1,2,1120,72,1,0,moderate,40.83296,-73.88668,1,10597
